inquiry_id,department,inquiry_type,channel,student_type,quarter,month,day_of_week,time_slot,staff_member,wait_time_min,service_time_min,resolution,escalated,callback_required,satisfaction_score
10799,Student Business Services,Refund Status,Walk-In,Prospective,Fall 2024,Dec,Tuesday,8-10 AM,Staff C,9.1,18.3,Resolved on First Contact,No,No,5.0
10800,General Inquiry,Department Referral,Phone,Undergraduate,Winter 2025,Feb,Friday,10-12 PM,Staff B,8.3,13.5,Follow-Up Required,No,Yes,2.4
10801,Student Business Services,Tuition Payment,Walk-In,Graduate,Fall 2024,Sep,Wednesday,2-4 PM,Staff F,18.2,13.9,Resolved on First Contact,No,No,3.8
10802,Financial Aid,Award Letter,Virtual Appointment,Undergraduate,Fall 2024,Dec,Thursday,10-12 PM,Staff F,10.3,16.7,Follow-Up Required,No,No,2.2
10803,Student Business Services,Tuition Payment,Email,Parent/Guardian,Fall 2024,Dec,Tuesday,8-10 AM,Staff A,16.5,12.5,Escalated to Department,Yes,No,3.6
10804,Student Business Services,Tuition Payment,Virtual Appointment,Undergraduate,Winter 2025,Feb,Monday,2-4 PM,Staff H,3.8,12.6,Resolved on First Contact,No,No,4.2
10805,Registrar,Graduation Check,Walk-In,Graduate,Winter 2025,Jan,Wednesday,2-4 PM,Staff B,45.0,16.9,Resolved on First Contact,No,No,3.3
10806,Student Business Services,Account Hold,Virtual Appointment,Graduate,Spring 2025,Jun,Monday,12-2 PM,Staff G,23.3,8.4,Escalated to Department,Yes,No,3.3
10807,General Inquiry,Department Referral,Walk-In,Parent/Guardian,Spring 2025,May,Thursday,10-12 PM,Staff B,5.1,8.1,Escalated to Department,Yes,No,4.0
10808,General Inquiry,Hours/Location,Walk-In,Prospective,Winter 2025,Mar,Tuesday,8-10 AM,Staff F,23.1,7.4,Resolved on First Contact,No,No,4.8
10809,Registrar,Graduation Check,Walk-In,Undergraduate,Fall 2024,Dec,Wednesday,2-4 PM,Staff H,18.1,14.3,Resolved on First Contact,No,No,5.0
10810,Financial Aid,Loan Questions,Walk-In,Graduate,Fall 2024,Sep,Monday,10-12 PM,Staff C,17.6,11.0,Escalated to Department,Yes,No,3.0
10811,General Inquiry,Hours/Location,Phone,Parent/Guardian,Spring 2025,Jun,Tuesday,2-4 PM,Staff C,7.0,7.4,Resolved on First Contact,No,No,3.8
10812,Admissions,Residency,Phone,Graduate,Fall 2024,Nov,Thursday,10-12 PM,Staff E,18.8,14.1,Resolved on First Contact,No,No,4.3
10813,Financial Aid,Award Letter,Walk-In,Graduate,Fall 2024,Sep,Monday,10-12 PM,Staff G,36.1,12.7,Escalated to Department,Yes,No,3.2
10814,General Inquiry,Complaint,Phone,Prospective,Spring 2025,Apr,Thursday,2-4 PM,Staff G,6.6,16.2,Resolved on First Contact,No,No,5.0
10815,Admissions,Residency,Walk-In,Undergraduate,Winter 2025,Feb,Friday,10-12 PM,Staff C,6.6,16.1,Follow-Up Required,No,Yes,4.2
10816,Registrar,Transcript Request,Phone,Graduate,Fall 2024,Sep,Thursday,8-10 AM,Staff B,15.2,9.3,Resolved on First Contact,No,No,3.5
10817,Student Business Services,Tuition Payment,Walk-In,Undergraduate,Fall 2024,Oct,Thursday,10-12 PM,Staff A,9.6,15.6,Resolved on First Contact,No,No,3.5
10818,Registrar,Enrollment Verification,Email,Undergraduate,Summer 2025,Jul,Monday,10-12 PM,Staff C,8.1,18.3,Follow-Up Required,No,Yes,4.3
10819,Financial Aid,Scholarship Inquiry,Email,Prospective,Summer 2025,Jul,Tuesday,8-10 AM,Staff G,13.2,17.4,Resolved on First Contact,No,No,4.1
10820,Registrar,Transcript Request,Phone,Undergraduate,Spring 2025,May,Friday,10-12 PM,Staff G,3.5,14.5,Follow-Up Required,No,Yes,5.0
10821,Admissions,Orientation,Walk-In,Undergraduate,Winter 2025,Jan,Thursday,10-12 PM,Staff F,8.6,19.8,Resolved on First Contact,No,No,4.7
10822,Financial Aid,Award Letter,Walk-In,Undergraduate,Winter 2025,Jan,Thursday,12-2 PM,Staff F,17.4,12.2,Resolved on First Contact,No,No,3.5
10823,Registrar,Add/Drop,Email,Undergraduate,Summer 2025,Aug,Thursday,10-12 PM,Staff E,3.3,14.3,Resolved on First Contact,No,No,3.7
10824,Registrar,Enrollment Verification,Walk-In,Prospective,Summer 2025,Jul,Tuesday,2-4 PM,Staff H,7.3,13.8,Escalated to Department,Yes,No,3.8
10825,Registrar,Transcript Request,Walk-In,Graduate,Fall 2024,Oct,Monday,8-10 AM,Staff E,18.3,19.3,Resolved on First Contact,No,No,4.0
10826,General Inquiry,Hours/Location,Walk-In,Undergraduate,Spring 2025,Jun,Thursday,12-2 PM,Staff B,32.9,9.4,Resolved on First Contact,No,No,4.8
10827,Registrar,Add/Drop,Phone,Undergraduate,Fall 2024,Nov,Thursday,8-10 AM,Staff C,14.9,19.0,Resolved on First Contact,No,No,4.6
10828,Registrar,Grade Change,Phone,Undergraduate,Fall 2024,Sep,Wednesday,12-2 PM,Staff C,12.4,3.3,Follow-Up Required,No,Yes,4.1
10829,Student Business Services,Refund Status,Email,Undergraduate,Spring 2025,May,Friday,2-4 PM,Staff E,7.3,9.1,Resolved on First Contact,No,No,3.3
10830,Registrar,Grade Change,Walk-In,Prospective,Winter 2025,Mar,Tuesday,2-4 PM,Staff C,6.2,13.4,Escalated to Department,Yes,No,3.1
10831,Financial Aid,Scholarship Inquiry,Walk-In,Undergraduate,Summer 2025,Aug,Tuesday,12-2 PM,Staff B,18.4,20.3,Referred to Another Office,No,No,3.8
10832,Registrar,Enrollment Verification,Email,Prospective,Fall 2024,Dec,Friday,10-12 PM,Staff A,11.4,2.0,Resolved on First Contact,No,No,2.8
10833,Financial Aid,Work-Study,Email,Undergraduate,Winter 2025,Jan,Thursday,2-4 PM,Staff H,30.0,6.8,Resolved on First Contact,No,No,4.4
10834,Financial Aid,Scholarship Inquiry,Walk-In,Undergraduate,Summer 2025,Aug,Wednesday,2-4 PM,Staff F,36.1,11.6,Escalated to Department,Yes,No,3.8
10835,Registrar,Grade Change,Phone,Undergraduate,Summer 2025,Aug,Monday,2-4 PM,Staff B,3.5,7.3,Resolved on First Contact,No,No,4.2
10836,Registrar,Enrollment Verification,Walk-In,Undergraduate,Fall 2024,Nov,Monday,10-12 PM,Staff C,44.8,8.2,Escalated to Department,Yes,No,4.1
10837,General Inquiry,General Question,Virtual Appointment,Prospective,Winter 2025,Mar,Thursday,2-4 PM,Staff B,25.1,12.8,Resolved on First Contact,No,No,4.9
10838,Registrar,Grade Change,Walk-In,Undergraduate,Spring 2025,Apr,Tuesday,8-10 AM,Staff F,13.2,19.4,Resolved on First Contact,No,No,4.7
10839,Student Business Services,Tuition Payment,Virtual Appointment,Undergraduate,Fall 2024,Sep,Friday,10-12 PM,Staff D,10.2,13.1,Referred to Another Office,No,No,3.8
10840,Student Business Services,1098-T,Phone,Parent/Guardian,Summer 2025,Aug,Friday,8-10 AM,Staff G,11.2,22.7,Resolved on First Contact,No,No,5.0
10841,Financial Aid,Scholarship Inquiry,Phone,Graduate,Summer 2025,Aug,Thursday,10-12 PM,Staff F,2.5,17.4,Resolved on First Contact,No,No,3.4
10842,Student Business Services,Refund Status,Walk-In,Undergraduate,Fall 2024,Nov,Tuesday,12-2 PM,Staff G,17.0,13.9,Follow-Up Required,No,Yes,3.9
10843,Financial Aid,FAFSA Status,Phone,Parent/Guardian,Fall 2024,Oct,Thursday,2-4 PM,Staff F,4.2,22.2,Referred to Another Office,No,No,3.4
10844,General Inquiry,Department Referral,Walk-In,Undergraduate,Fall 2024,Sep,Tuesday,12-2 PM,Staff D,19.9,11.2,Resolved on First Contact,No,No,3.8
10845,Financial Aid,Scholarship Inquiry,Walk-In,Prospective,Summer 2025,Jul,Monday,12-2 PM,Staff C,29.2,13.1,Referred to Another Office,No,No,3.8
10846,Registrar,Transcript Request,Phone,Undergraduate,Fall 2024,Nov,Monday,10-12 PM,Staff C,6.1,18.6,Follow-Up Required,No,Yes,3.2
10847,Financial Aid,Work-Study,Virtual Appointment,Graduate,Winter 2025,Feb,Tuesday,12-2 PM,Staff H,12.0,16.8,Referred to Another Office,No,No,2.6
10848,General Inquiry,Complaint,Phone,Undergraduate,Winter 2025,Feb,Friday,10-12 PM,Staff A,2.8,21.0,Follow-Up Required,No,Yes,5.0
10849,Registrar,Add/Drop,Email,Undergraduate,Winter 2025,Mar,Tuesday,2-4 PM,Staff F,9.8,6.2,Follow-Up Required,No,Yes,3.3
10850,Student Business Services,Account Hold,Walk-In,Graduate,Fall 2024,Nov,Monday,12-2 PM,Staff B,18.6,8.3,Escalated to Department,Yes,No,2.8
10851,Financial Aid,Award Letter,Walk-In,Graduate,Fall 2024,Oct,Friday,12-2 PM,Staff A,10.6,13.2,Resolved on First Contact,No,No,5.0
10852,Student Business Services,Payment Plan,Walk-In,Prospective,Summer 2025,Jul,Monday,10-12 PM,Staff C,12.3,11.6,Referred to Another Office,No,No,3.3
10853,Financial Aid,FAFSA Status,Phone,Prospective,Summer 2025,Aug,Thursday,2-4 PM,Staff C,15.7,16.5,Resolved on First Contact,No,No,3.3
10854,Admissions,Admission Decision,Virtual Appointment,Undergraduate,Spring 2025,Apr,Tuesday,10-12 PM,Staff H,3.9,8.0,Resolved on First Contact,No,No,3.9
10855,Financial Aid,Scholarship Inquiry,Phone,Undergraduate,Fall 2024,Nov,Monday,10-12 PM,Staff H,13.9,10.7,Follow-Up Required,No,Yes,3.5
10856,Financial Aid,Loan Questions,Walk-In,Graduate,Fall 2024,Oct,Friday,12-2 PM,Staff H,18.0,15.4,Resolved on First Contact,No,No,3.4
10857,Financial Aid,Scholarship Inquiry,Walk-In,Graduate,Spring 2025,May,Monday,10-12 PM,Staff E,7.4,17.5,Escalated to Department,Yes,No,2.8
10858,Registrar,Enrollment Verification,Phone,Undergraduate,Fall 2024,Dec,Wednesday,2-4 PM,Staff A,24.1,14.1,Escalated to Department,Yes,No,2.7
10859,Student Business Services,Payment Plan,Walk-In,Undergraduate,Summer 2025,Aug,Tuesday,10-12 PM,Staff C,11.6,14.9,Resolved on First Contact,No,No,5.0
10860,Financial Aid,FAFSA Status,Email,Graduate,Spring 2025,Apr,Monday,10-12 PM,Staff D,3.5,19.8,Resolved on First Contact,No,No,5.0
10861,Admissions,Orientation,Email,Parent/Guardian,Fall 2024,Sep,Monday,2-4 PM,Staff G,8.4,8.3,Resolved on First Contact,No,No,5.0
10862,Registrar,Transcript Request,Phone,Graduate,Summer 2025,Aug,Monday,10-12 PM,Staff E,5.1,2.0,Escalated to Department,Yes,No,3.3
10863,Registrar,Graduation Check,Walk-In,Undergraduate,Summer 2025,Aug,Monday,10-12 PM,Staff B,15.5,13.3,Escalated to Department,Yes,No,2.4
10864,Registrar,Graduation Check,Walk-In,Graduate,Fall 2024,Nov,Thursday,10-12 PM,Staff G,16.8,12.0,Resolved on First Contact,No,No,4.9
10865,Registrar,Grade Change,Walk-In,Prospective,Winter 2025,Mar,Wednesday,10-12 PM,Staff E,15.4,15.7,Referred to Another Office,No,No,3.0
10866,Student Business Services,Tuition Payment,Walk-In,Prospective,Fall 2024,Oct,Tuesday,12-2 PM,Staff H,21.6,9.4,Resolved on First Contact,No,No,3.6
10867,Financial Aid,Loan Questions,Walk-In,Prospective,Winter 2025,Feb,Tuesday,8-10 AM,Staff F,9.7,22.3,Resolved on First Contact,No,No,5.0
10868,Financial Aid,Loan Questions,Phone,Prospective,Fall 2024,Sep,Friday,2-4 PM,Staff F,12.9,18.3,Resolved on First Contact,No,No,5.0
10869,Admissions,Transfer Credits,Phone,Undergraduate,Winter 2025,Feb,Friday,12-2 PM,Staff B,34.4,12.7,Resolved on First Contact,No,No,4.0
10870,General Inquiry,Department Referral,Walk-In,Undergraduate,Summer 2025,Jul,Thursday,8-10 AM,Staff D,32.5,16.7,Follow-Up Required,No,Yes,4.4
10871,Registrar,Enrollment Verification,Walk-In,Prospective,Winter 2025,Jan,Friday,12-2 PM,Staff B,12.3,17.8,Resolved on First Contact,No,No,5.0
10872,Financial Aid,Work-Study,Walk-In,Undergraduate,Fall 2024,Dec,Tuesday,12-2 PM,Staff A,18.2,22.3,Escalated to Department,Yes,No,4.0
10873,Student Business Services,1098-T,Walk-In,Undergraduate,Spring 2025,Jun,Tuesday,8-10 AM,Staff G,7.5,3.3,Follow-Up Required,No,Yes,3.6
10874,Registrar,Graduation Check,Email,Prospective,Fall 2024,Nov,Wednesday,10-12 PM,Staff B,5.3,2.0,Resolved on First Contact,No,No,3.9
10875,Financial Aid,Award Letter,Walk-In,Prospective,Summer 2025,Jul,Thursday,10-12 PM,Staff B,16.7,14.8,Follow-Up Required,No,Yes,3.8
10876,Financial Aid,Loan Questions,Walk-In,Parent/Guardian,Winter 2025,Mar,Wednesday,12-2 PM,Staff E,9.6,11.1,Resolved on First Contact,No,No,3.3
10877,Student Business Services,Tuition Payment,Walk-In,Parent/Guardian,Fall 2024,Oct,Tuesday,12-2 PM,Staff D,10.6,11.5,Follow-Up Required,No,No,3.4
10878,Student Business Services,Refund Status,Email,Undergraduate,Fall 2024,Nov,Friday,10-12 PM,Staff B,15.4,10.7,Resolved on First Contact,No,No,4.8
10879,Financial Aid,Award Letter,Phone,Parent/Guardian,Spring 2025,Apr,Friday,12-2 PM,Staff A,19.7,14.6,Resolved on First Contact,No,No,3.8
10880,Financial Aid,Award Letter,Walk-In,Undergraduate,Fall 2024,Sep,Wednesday,12-2 PM,Staff E,33.7,16.9,Resolved on First Contact,No,No,5.0
10881,Financial Aid,Work-Study,Phone,Graduate,Spring 2025,Apr,Thursday,12-2 PM,Staff D,7.3,23.8,Escalated to Department,Yes,No,3.7
10882,Student Business Services,Payment Plan,Email,Undergraduate,Fall 2024,Nov,Tuesday,12-2 PM,Staff D,9.2,19.9,Follow-Up Required,No,No,4.4
10883,Financial Aid,Scholarship Inquiry,Virtual Appointment,Undergraduate,Fall 2024,Dec,Monday,10-12 PM,Staff C,5.2,18.9,Referred to Another Office,No,No,3.6
10884,Financial Aid,Work-Study,Walk-In,Parent/Guardian,Winter 2025,Feb,Tuesday,2-4 PM,Staff F,17.6,23.7,Resolved on First Contact,No,No,4.8
10885,Admissions,Residency,Email,Undergraduate,Summer 2025,Jul,Tuesday,12-2 PM,Staff G,23.3,6.0,Referred to Another Office,No,No,2.5
10886,Financial Aid,Work-Study,Virtual Appointment,Graduate,Summer 2025,Aug,Monday,2-4 PM,Staff A,17.6,13.9,Resolved on First Contact,No,No,4.6
10887,Student Business Services,Payment Plan,Virtual Appointment,Undergraduate,Fall 2024,Oct,Thursday,10-12 PM,Staff F,15.1,14.6,Escalated to Department,Yes,No,3.9
10888,Financial Aid,Loan Questions,Phone,Undergraduate,Winter 2025,Jan,Tuesday,10-12 PM,Staff E,3.0,15.4,Resolved on First Contact,No,No,5.0
10889,Financial Aid,Work-Study,Phone,Undergraduate,Fall 2024,Oct,Wednesday,10-12 PM,Staff E,8.2,20.4,Resolved on First Contact,No,No,2.7
10890,Financial Aid,Loan Questions,Walk-In,Graduate,Winter 2025,Feb,Monday,10-12 PM,Staff A,9.2,17.1,Escalated to Department,Yes,No,3.0
10891,Student Business Services,Account Hold,Email,Undergraduate,Winter 2025,Feb,Monday,12-2 PM,Staff D,18.0,18.5,Escalated to Department,Yes,No,2.1
10892,Admissions,Application Status,Phone,Undergraduate,Summer 2025,Jul,Friday,10-12 PM,Staff H,0.5,12.6,Escalated to Department,Yes,No,3.1
10893,Admissions,Transfer Credits,Phone,Graduate,Summer 2025,Aug,Wednesday,2-4 PM,Staff B,6.1,8.5,Resolved on First Contact,No,No,4.2
10894,Registrar,Graduation Check,Walk-In,Undergraduate,Winter 2025,Mar,Friday,12-2 PM,Staff A,6.2,9.6,Follow-Up Required,No,Yes,4.3
10895,Student Business Services,Payment Plan,Email,Undergraduate,Winter 2025,Mar,Friday,12-2 PM,Staff E,8.7,8.0,Resolved on First Contact,No,No,5.0
10896,Financial Aid,Scholarship Inquiry,Email,Parent/Guardian,Summer 2025,Aug,Tuesday,10-12 PM,Staff F,12.6,16.7,Resolved on First Contact,No,No,5.0
10897,Financial Aid,FAFSA Status,Walk-In,Undergraduate,Spring 2025,Jun,Tuesday,2-4 PM,Staff G,13.2,16.5,Escalated to Department,Yes,No,3.1
10898,Admissions,Transfer Credits,Email,Undergraduate,Fall 2024,Oct,Friday,2-4 PM,Staff A,16.7,8.6,Resolved on First Contact,No,No,4.9
10899,Financial Aid,Loan Questions,Phone,Graduate,Fall 2024,Sep,Friday,12-2 PM,Staff D,14.5,19.1,Referred to Another Office,No,No,4.8
10900,Financial Aid,Award Letter,Email,Prospective,Winter 2025,Feb,Thursday,10-12 PM,Staff G,1.7,15.7,Resolved on First Contact,No,No,4.5
10901,Financial Aid,Loan Questions,Walk-In,Prospective,Fall 2024,Dec,Thursday,10-12 PM,Staff G,12.9,22.3,Referred to Another Office,No,No,3.7
10902,Financial Aid,Loan Questions,Walk-In,Parent/Guardian,Fall 2024,Sep,Thursday,8-10 AM,Staff G,37.1,18.7,Follow-Up Required,No,Yes,3.2
10903,Financial Aid,Scholarship Inquiry,Virtual Appointment,Undergraduate,Fall 2024,Dec,Tuesday,10-12 PM,Staff C,6.7,12.2,Resolved on First Contact,No,No,4.7
10904,Student Business Services,Account Hold,Walk-In,Parent/Guardian,Spring 2025,May,Wednesday,8-10 AM,Staff G,5.5,12.6,Resolved on First Contact,No,No,4.6
10905,Registrar,Enrollment Verification,Email,Parent/Guardian,Fall 2024,Sep,Friday,12-2 PM,Staff C,10.9,5.6,Escalated to Department,Yes,No,3.6
10906,Admissions,Transfer Credits,Phone,Prospective,Fall 2024,Sep,Thursday,12-2 PM,Staff B,10.6,8.4,Escalated to Department,Yes,No,4.9
10907,Admissions,Residency,Phone,Undergraduate,Fall 2024,Sep,Monday,10-12 PM,Staff B,12.1,17.2,Resolved on First Contact,No,No,5.0
10908,Registrar,Graduation Check,Walk-In,Prospective,Spring 2025,May,Tuesday,10-12 PM,Staff G,11.6,11.3,Follow-Up Required,No,No,2.5
10909,Financial Aid,Loan Questions,Phone,Undergraduate,Summer 2025,Jul,Monday,2-4 PM,Staff D,39.1,17.9,Resolved on First Contact,No,No,2.5
10910,Registrar,Transcript Request,Walk-In,Prospective,Winter 2025,Feb,Tuesday,8-10 AM,Staff F,16.3,13.7,Follow-Up Required,No,Yes,4.1
10911,Student Business Services,1098-T,Walk-In,Undergraduate,Winter 2025,Feb,Friday,12-2 PM,Staff B,5.3,16.0,Referred to Another Office,No,No,3.7
10912,Financial Aid,Work-Study,Walk-In,Prospective,Summer 2025,Aug,Monday,8-10 AM,Staff C,15.0,18.5,Resolved on First Contact,No,No,2.9
10913,Student Business Services,Refund Status,Walk-In,Graduate,Fall 2024,Sep,Monday,8-10 AM,Staff D,25.9,27.0,Follow-Up Required,No,No,1.9
10914,Registrar,Add/Drop,Virtual Appointment,Undergraduate,Fall 2024,Sep,Tuesday,8-10 AM,Staff G,25.1,15.4,Resolved on First Contact,No,No,3.7
10915,Student Business Services,Tuition Payment,Virtual Appointment,Prospective,Fall 2024,Nov,Wednesday,12-2 PM,Staff D,8.4,10.4,Resolved on First Contact,No,No,4.5
10916,Registrar,Enrollment Verification,Walk-In,Graduate,Fall 2024,Nov,Wednesday,10-12 PM,Staff D,12.0,13.6,Escalated to Department,Yes,No,3.7
10917,Financial Aid,Work-Study,Email,Graduate,Winter 2025,Jan,Monday,2-4 PM,Staff A,17.6,13.5,Resolved on First Contact,No,No,3.8
10918,General Inquiry,Department Referral,Walk-In,Undergraduate,Summer 2025,Jul,Monday,10-12 PM,Staff F,17.0,5.1,Resolved on First Contact,No,No,3.9
10919,Admissions,Residency,Phone,Prospective,Spring 2025,Jun,Tuesday,8-10 AM,Staff G,6.1,2.0,Escalated to Department,Yes,No,3.1
10920,Financial Aid,Work-Study,Email,Undergraduate,Winter 2025,Jan,Wednesday,12-2 PM,Staff F,4.0,13.7,Follow-Up Required,No,No,4.5
10921,Admissions,Residency,Virtual Appointment,Undergraduate,Summer 2025,Aug,Tuesday,8-10 AM,Staff B,8.4,10.6,Resolved on First Contact,No,No,3.1
10922,Registrar,Graduation Check,Walk-In,Undergraduate,Fall 2024,Nov,Friday,12-2 PM,Staff H,9.5,6.3,Resolved on First Contact,No,No,4.3
10923,Admissions,Residency,Email,Graduate,Fall 2024,Sep,Wednesday,8-10 AM,Staff F,7.8,5.3,Resolved on First Contact,No,No,5.0
10924,Admissions,Orientation,Walk-In,Graduate,Winter 2025,Mar,Monday,10-12 PM,Staff E,8.2,10.7,Resolved on First Contact,No,No,4.0
10925,Registrar,Grade Change,Virtual Appointment,Undergraduate,Spring 2025,Jun,Thursday,12-2 PM,Staff C,3.7,9.1,Follow-Up Required,No,Yes,4.2
10926,Financial Aid,FAFSA Status,Walk-In,Undergraduate,Fall 2024,Sep,Tuesday,2-4 PM,Staff B,17.0,18.4,Resolved on First Contact,No,No,4.6
10927,Financial Aid,Award Letter,Phone,Graduate,Winter 2025,Mar,Thursday,10-12 PM,Staff G,3.3,17.9,Follow-Up Required,No,Yes,3.6
10928,Registrar,Enrollment Verification,Phone,Parent/Guardian,Spring 2025,Jun,Tuesday,2-4 PM,Staff F,0.3,16.0,Resolved on First Contact,No,No,4.5
10929,Student Business Services,Payment Plan,Phone,Graduate,Spring 2025,Jun,Wednesday,8-10 AM,Staff C,1.4,20.8,Resolved on First Contact,No,No,3.6
10930,Financial Aid,Work-Study,Walk-In,Undergraduate,Spring 2025,May,Thursday,2-4 PM,Staff G,6.0,20.2,Resolved on First Contact,No,No,4.7
10931,Financial Aid,FAFSA Status,Virtual Appointment,Undergraduate,Fall 2024,Oct,Friday,12-2 PM,Staff G,8.5,13.6,Follow-Up Required,No,Yes,3.9
10932,Admissions,Transfer Credits,Walk-In,Undergraduate,Fall 2024,Dec,Tuesday,8-10 AM,Staff B,10.9,12.8,Resolved on First Contact,No,No,5.0
10933,General Inquiry,Hours/Location,Phone,Prospective,Winter 2025,Mar,Tuesday,10-12 PM,Staff E,2.8,4.0,Referred to Another Office,No,No,4.8
10934,Registrar,Enrollment Verification,Walk-In,Undergraduate,Fall 2024,Sep,Wednesday,8-10 AM,Staff C,17.1,9.6,Resolved on First Contact,No,No,5.0
10935,Financial Aid,Loan Questions,Walk-In,Graduate,Summer 2025,Jul,Friday,10-12 PM,Staff H,7.1,4.3,Resolved on First Contact,No,No,5.0
10936,Financial Aid,Loan Questions,Phone,Undergraduate,Winter 2025,Mar,Friday,10-12 PM,Staff H,2.3,15.2,Resolved on First Contact,No,No,4.0
10937,Financial Aid,Work-Study,Walk-In,Undergraduate,Fall 2024,Oct,Monday,12-2 PM,Staff H,23.3,14.3,Resolved on First Contact,No,No,4.3
10938,General Inquiry,Complaint,Walk-In,Undergraduate,Spring 2025,May,Monday,2-4 PM,Staff E,11.4,15.5,Escalated to Department,Yes,No,4.0
10939,Financial Aid,Scholarship Inquiry,Walk-In,Prospective,Winter 2025,Feb,Wednesday,8-10 AM,Staff C,20.5,12.2,Escalated to Department,Yes,No,2.6
10940,Student Business Services,1098-T,Walk-In,Parent/Guardian,Fall 2024,Dec,Monday,10-12 PM,Staff A,14.8,15.9,Resolved on First Contact,No,No,5.0
10941,Financial Aid,Loan Questions,Email,Undergraduate,Spring 2025,Jun,Tuesday,12-2 PM,Staff G,19.2,11.1,Follow-Up Required,No,Yes,3.7
10942,Student Business Services,Tuition Payment,Email,Undergraduate,Summer 2025,Jul,Monday,2-4 PM,Staff A,2.4,8.9,Follow-Up Required,No,Yes,4.6
10943,Student Business Services,Refund Status,Walk-In,Undergraduate,Spring 2025,Apr,Thursday,10-12 PM,Staff C,12.7,11.2,Referred to Another Office,No,No,4.7
10944,Admissions,Orientation,Walk-In,Prospective,Fall 2024,Nov,Friday,10-12 PM,Staff H,14.6,13.5,Resolved on First Contact,No,No,4.6
10945,Financial Aid,Work-Study,Walk-In,Graduate,Winter 2025,Mar,Friday,10-12 PM,Staff C,25.1,16.2,Resolved on First Contact,No,No,5.0
10946,Financial Aid,Award Letter,Walk-In,Undergraduate,Spring 2025,May,Tuesday,10-12 PM,Staff E,9.3,12.2,Resolved on First Contact,No,No,5.0
10947,Financial Aid,Award Letter,Phone,Undergraduate,Fall 2024,Oct,Wednesday,8-10 AM,Staff G,19.4,17.7,Resolved on First Contact,No,No,4.3
10948,General Inquiry,Hours/Location,Phone,Prospective,Fall 2024,Oct,Friday,10-12 PM,Staff F,10.6,13.5,Escalated to Department,Yes,No,4.3
10949,Admissions,Residency,Walk-In,Graduate,Summer 2025,Aug,Monday,8-10 AM,Staff G,14.9,19.6,Referred to Another Office,No,No,5.0
10950,Student Business Services,Payment Plan,Walk-In,Undergraduate,Fall 2024,Oct,Thursday,12-2 PM,Staff D,26.4,12.1,Resolved on First Contact,No,No,3.4
10951,Student Business Services,Refund Status,Walk-In,Graduate,Spring 2025,Apr,Tuesday,10-12 PM,Staff C,45.0,13.1,Escalated to Department,Yes,No,1.0
10952,Student Business Services,Payment Plan,Email,Prospective,Winter 2025,Jan,Monday,10-12 PM,Staff B,13.5,4.5,Referred to Another Office,No,No,4.6
10953,Financial Aid,Work-Study,Virtual Appointment,Graduate,Winter 2025,Jan,Tuesday,8-10 AM,Staff B,6.0,14.8,Referred to Another Office,No,No,3.5
10954,General Inquiry,General Question,Walk-In,Undergraduate,Fall 2024,Oct,Monday,2-4 PM,Staff B,11.8,6.7,Escalated to Department,Yes,No,2.5
10955,Registrar,Transcript Request,Walk-In,Graduate,Spring 2025,May,Thursday,2-4 PM,Staff A,8.0,17.5,Follow-Up Required,No,Yes,3.2
10956,Registrar,Graduation Check,Email,Graduate,Winter 2025,Feb,Tuesday,8-10 AM,Staff F,0.8,10.6,Resolved on First Contact,No,No,3.4
10957,Registrar,Enrollment Verification,Virtual Appointment,Graduate,Winter 2025,Jan,Tuesday,10-12 PM,Staff E,3.4,6.6,Referred to Another Office,No,No,5.0
10958,Financial Aid,Loan Questions,Walk-In,Parent/Guardian,Spring 2025,May,Monday,12-2 PM,Staff F,12.0,12.1,Resolved on First Contact,No,No,5.0
10959,Financial Aid,Scholarship Inquiry,Walk-In,Undergraduate,Spring 2025,Apr,Friday,8-10 AM,Staff A,18.3,14.2,Resolved on First Contact,No,No,4.1
10960,Student Business Services,1098-T,Walk-In,Graduate,Summer 2025,Aug,Wednesday,10-12 PM,Staff F,5.3,21.5,Resolved on First Contact,No,No,4.2
10961,Financial Aid,Loan Questions,Phone,Undergraduate,Winter 2025,Mar,Wednesday,10-12 PM,Staff F,6.7,13.9,Follow-Up Required,No,Yes,4.0
10962,Student Business Services,Account Hold,Walk-In,Undergraduate,Winter 2025,Jan,Wednesday,2-4 PM,Staff G,11.7,14.1,Resolved on First Contact,No,No,5.0
10963,Financial Aid,Work-Study,Walk-In,Graduate,Summer 2025,Jul,Tuesday,2-4 PM,Staff B,22.8,24.7,Escalated to Department,Yes,No,2.3
10964,Registrar,Grade Change,Phone,Parent/Guardian,Spring 2025,Apr,Monday,12-2 PM,Staff C,1.3,14.1,Resolved on First Contact,No,No,4.5
10965,Financial Aid,FAFSA Status,Walk-In,Undergraduate,Fall 2024,Oct,Thursday,10-12 PM,Staff B,15.6,9.8,Resolved on First Contact,No,No,5.0
10966,Registrar,Graduation Check,Email,Parent/Guardian,Fall 2024,Oct,Monday,2-4 PM,Staff F,32.3,2.0,Resolved on First Contact,No,No,3.6
10967,Student Business Services,Refund Status,Walk-In,Undergraduate,Spring 2025,Jun,Monday,2-4 PM,Staff C,8.4,15.5,Resolved on First Contact,No,No,3.6
10968,Financial Aid,Scholarship Inquiry,Walk-In,Undergraduate,Winter 2025,Feb,Thursday,2-4 PM,Staff G,15.8,28.5,Resolved on First Contact,No,No,4.4
